init
Dh 80400040
ED 809a02000000000000000011d00000
DD 809A022189CBF75B9625A951E020040080
ED 809a022189cbf75b9625a95198
DD 809A022189CBF75B9625A951A00120024100C4
ED 809a022189cbf75b9625a951b2001280
DD 809A022189CBF75B9625A951C000
ED 809a022189cbf75b9625a950b8
DD 809A022189CBF75B9625A950C00200
ED 809a022189cbf75b9625a950b8
DD 809A022189CBF75B9625A950C00000
ED 809a022189cbf75b9625a9507191400500c8c82324701900
DD 809A022189CBF75B9625A9508002002802800007FFFFF8383FFFC045500000000101857040101C29C8408143C894080C03C08143403C4406010200
ED 809a022189cbf75b9625a9507191400500c8c82324701900
DD 809A022189CBF75B9625A9508000002802800007FFFFF8383FFFC045500000000101871048101C2209C08143C894080C03C08143403C4406010200
ED 809a022189cbf75b9625a95011400500
DD 809A022189CBF75B9625A95020000200000400
ED 809a022189cbf75b9625a95011400500
DD 809A022189CBF75B9625A95020004080000000
ED 809a022189cbf75b9625a95151400500c9cc0206401000
DD 809A022189CBF75B9625A9516000408000010284904800
ED 809a022189cbf75b9625a9513022800a0800
closing
