# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[2024-06-11 10:52:37.220658] EVRESSSOC=77
[2024-06-11 10:52:37.605348] EVRESSSOC=77
[2024-06-11 10:52:37.877275] EVRESSSOC=77
[2024-06-11 10:52:38.165148] EVRESSSOC=77
[2024-06-11 10:52:38.421738] EVRESSSOC=77
[2024-06-11 10:52:38.710259] EVRESSSOC=77
[2024-06-11 10:52:38.996171] EVRESSSOC=77
[2024-06-11 10:52:39.065387] EVTargetVoltage=426.0
[2024-06-11 10:52:39.065387] EVTargetCurrent=0.0
[2024-06-11 10:52:39.065387] EVRESSSOC=77
[2024-06-11 10:52:39.215578] EVSEPresentVoltage=238.0
[2024-06-11 10:52:39.440303] EVTargetVoltage=426.0
[2024-06-11 10:52:39.440303] EVTargetCurrent=1.0
[2024-06-11 10:52:39.440303] EVRESSSOC=77
[2024-06-11 10:52:39.532892] EVSEPresentVoltage=263.0
[2024-06-11 10:52:39.754731] EVTargetVoltage=426.0
[2024-06-11 10:52:39.754731] EVTargetCurrent=1.0
[2024-06-11 10:52:39.754731] EVRESSSOC=77
[2024-06-11 10:52:39.853000] EVSEPresentVoltage=288.0
[2024-06-11 10:52:40.076142] EVTargetVoltage=426.0
[2024-06-11 10:52:40.076142] EVTargetCurrent=1.0
[2024-06-11 10:52:40.076142] EVRESSSOC=77
[2024-06-11 10:52:40.167108] EVSEPresentVoltage=313.0
[2024-06-11 10:52:40.391434] EVTargetVoltage=426.0
[2024-06-11 10:52:40.391434] EVTargetCurrent=1.0
[2024-06-11 10:52:40.391434] EVRESSSOC=77
[2024-06-11 10:52:40.491361] EVSEPresentVoltage=338.0
[2024-06-11 10:52:40.714717] EVTargetVoltage=426.0
[2024-06-11 10:52:40.714717] EVTargetCurrent=1.0
[2024-06-11 10:52:40.714717] EVRESSSOC=77
[2024-06-11 10:52:40.805582] EVSEPresentVoltage=363.0
[2024-06-11 10:52:41.031314] EVTargetVoltage=426.0
[2024-06-11 10:52:41.031314] EVTargetCurrent=1.0
[2024-06-11 10:52:41.031314] EVRESSSOC=77
[2024-06-11 10:52:41.085731] EVSEPresentVoltage=388.0
[2024-06-11 10:52:41.311000] EVTargetVoltage=426.0
[2024-06-11 10:52:41.311000] EVTargetCurrent=1.0
[2024-06-11 10:52:41.311000] EVRESSSOC=77
[2024-06-11 10:52:41.382133] EVSEPresentVoltage=413.0
[2024-06-11 10:52:41.606004] EVTargetVoltage=426.0
[2024-06-11 10:52:41.606004] EVTargetCurrent=1.0
[2024-06-11 10:52:41.606004] EVRESSSOC=77
[2024-06-11 10:52:41.671751] EVSEPresentVoltage=418.0
[2024-06-11 10:52:41.895278] EVTargetVoltage=426.0
[2024-06-11 10:52:41.895278] EVTargetCurrent=1.0
[2024-06-11 10:52:41.895278] EVRESSSOC=77
[2024-06-11 10:52:42.002262] EVSEPresentVoltage=423.0
[2024-06-11 10:52:42.224507] EVTargetVoltage=426.0
[2024-06-11 10:52:42.224507] EVTargetCurrent=1.0
[2024-06-11 10:52:42.224507] EVRESSSOC=77
[2024-06-11 10:52:42.285038] EVSEPresentVoltage=428.0
[2024-06-11 10:52:42.510555] EVTargetVoltage=426.0
[2024-06-11 10:52:42.510555] EVTargetCurrent=1.0
[2024-06-11 10:52:42.510555] EVRESSSOC=77
[2024-06-11 10:52:42.612985] EVSEPresentVoltage=428.0
[2024-06-11 10:52:42.834544] EVTargetVoltage=426.0
[2024-06-11 10:52:42.834544] EVTargetCurrent=1.0
[2024-06-11 10:52:42.834544] EVRESSSOC=77
[2024-06-11 10:52:42.906633] EVSEPresentVoltage=428.0
